stn_id,month,var,q25,q50,q75
C0I540,5,t_air,6.3,7.5,8.4
C0I540,6,t_air,7.6,8.4,9.2
C0I540,7,t_air,8.1,8.9,9.7
C0I540,8,t_air,7.8,8.7,9.4
C0I540,9,t_air,7.5,8.3,9.1
C0I540,10,t_air,5.6,6.8,8.0
C0I540,11,t_air,3.2,5.1,6.6
C0I540,12,t_air,0.6,2.3,4.0
C0I540,1,wind,3.88,5.6,7.4
C0I540,2,wind,5.2,6.5,7.8
C0I540,3,wind,4.9,6.5,7.9
C0I540,4,wind,4.1,5.6,7.0
C0I540,5,wind,3.9,5.4,6.8
C0I540,6,wind,3.0,4.8,6.8
C0I540,7,wind,2.7,4.7,6.5
C0I540,8,wind,3.1,4.7,6.5
C0I540,9,wind,2.6,4.4,6.5
C0I540,10,wind,3.4,5.5,7.5
C0I540,11,wind,3.4,5.2,6.8
C0I540,12,wind,4.0,5.6,7.0
